"WKT","Idcko","Datum","Cas","denvtydnu","weekday","Nocden","daynight","Misto","Udalost","Incident","Vyrizeni","closing","Zdroj","Source","Y","X"
"POINT (16.588897344 49.2157444110001)","17695","2017/10/25","1899/12/30","Středa","Wednesday","Den","Day","Jana Babaka 7, Brno-Kralovo Pole","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.21574441100","16.58889734380"
"POINT (16.6432635950001 49.1782779120001)","18125","2017/10/24","1899/12/30","Úterý","Tuesday","Noc","Night","Havrani, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.17827791250","16.64326359540"
"POINT (16.6051609150001 49.20198229)","19733","2017/10/19","1899/12/30","Čtvrtek","Thursday","Noc","Night","Antoninska 16, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20198229030","16.60516091460"
"POINT (16.5901591370001 49.2275151)","19785","2017/10/19","1899/12/30","Čtvrtek","Thursday","Den","Day","Bulharska 53, Brno-Kralovo Pole","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.22751510020","16.59015913680"
"POINT (16.612994024 49.1454478680001)","20549","2017/10/18","1899/12/30","Středa","Wednesday","Noc","Night","Moravanska, Brno","Průjezd na červenou - cyklista","Cyclist - ignoring traffic lights","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.14544786810","16.61299402390"
"POINT (16.5901857310001 49.2273944250001)","20703","2017/10/17","1899/12/30","Úterý","Tuesday","Den","Day","Bulharska 51, Brno-Kralovo Pole","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.22739442550","16.59018573100"
"POINT (16.605594425 49.1988036650001)","20815","2017/10/17","1899/12/30","Úterý","Tuesday","Den","Day","Moravske namesti 9, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19880366460","16.60559442460"
"POINT (16.605594425 49.1988036650001)","21106","2017/10/16","1899/12/30","Pondělí","Monday","Den","Day","Moravske namesti 9, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19880366460","16.60559442460"
"POINT (16.605594425 49.1988036650001)","21107","2017/10/16","1899/12/30","Pondělí","Monday","Den","Day","Moravske namesti 9, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19880366460","16.60559442460"
"POINT (16.6369473140001 49.2029823010001)","21511","2017/10/15","1899/12/30","Neděle","Sunday","Den","Day","Bubenickova 1, Brno-zidenice","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.20298230060","16.63694731410"
"POINT (16.6387852440001 49.2043247230001)","21573","2017/10/15","1899/12/30","Neděle","Sunday","Den","Day","Stara osada 34, Brno-zidenice","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.20432472300","16.63878524360"
"POINT (16.6272961760001 49.234830222)","21862","2017/10/13","1899/12/30","Pátek","Friday","Den","Day","Majdalenky 7, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Oznámeno správnímu orgánu mimo MP","Handed over to the administrative authority outside the City Police","Radioprovoz","Radio broadcasting","49.23483022240","16.62729617580"
"POINT (16.6272961760001 49.234830222)","21864","2017/10/13","1899/12/30","Pátek","Friday","Den","Day","Majdalenky 7, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.23483022240","16.62729617580"
"POINT (16.626382902 49.191392224)","22662","2017/10/11","1899/12/30","Středa","Wednesday","Noc","Night","Krenova 36, Brno","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19139222370","16.62638290190"
"POINT (16.6087877190001 49.1973012600001)","22727","2017/10/11","1899/12/30","Středa","Wednesday","Den","Day","Behounska 17, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19730126010","16.60878771920"
"POINT (16.6087877190001 49.1973012600001)","22733","2017/10/11","1899/12/30","Středa","Wednesday","Den","Day","Behounska 17, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19730126010","16.60878771920"
"POINT (16.6087877190001 49.1973012600001)","22734","2017/10/11","1899/12/30","Středa","Wednesday","Den","Day","Behounska 17, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19730126010","16.60878771920"
"POINT (16.6087877190001 49.1973012600001)","22739","2017/10/11","1899/12/30","Středa","Wednesday","Den","Day","Behounska 17, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19730126010","16.60878771920"
"POINT (16.6087877190001 49.1973012600001)","22748","2017/10/11","1899/12/30","Středa","Wednesday","Den","Day","Behounska 17, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19730126010","16.60878771920"
"POINT (16.605594425 49.1988036650001)","22801","2017/10/11","1899/12/30","Středa","Wednesday","Den","Day","Moravske namesti 9, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19880366460","16.60559442460"
"POINT (16.605594425 49.1988036650001)","22808","2017/10/11","1899/12/30","Středa","Wednesday","Den","Day","Moravske namesti 9, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19880366460","16.60559442460"
"POINT (16.605594425 49.1988036650001)","22814","2017/10/11","1899/12/30","Středa","Wednesday","Den","Day","Moravske namesti 9, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19880366460","16.60559442460"
"POINT (16.6339634670001 49.1957808450001)","23123","2017/10/11","1899/12/30","Středa","Wednesday","Noc","Night","samalova 52, Brno-zidenice","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.19578084540","16.63396346730"
"POINT (16.6011236300001 49.2045864390001)","23481","2017/10/10","1899/12/30","Úterý","Tuesday","Den","Day","Sokolska 5, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.20458643950","16.60112362960"
"POINT (16.6173973260001 49.1921789790001)","24347","2017/10/08","1899/12/30","Neděle","Sunday","Den","Day","Krenova 13, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.19217897930","16.61739732640"
"POINT (16.6173973260001 49.1921789790001)","24348","2017/10/08","1899/12/30","Neděle","Sunday","Den","Day","Krenova 13, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19217897930","16.61739732640"
"POINT (16.5883089060001 49.2266262470001)","24377","2017/10/08","1899/12/30","Neděle","Sunday","Den","Day","Riegrova 44a, Brno-Kralovo Pole","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.22662624730","16.58830890580"
"POINT (16.613522613 49.1913172920001)","24386","2017/10/08","1899/12/30","Neděle","Sunday","Den","Day","Nadrazni 5, Brno","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.19131729230","16.61352261350"
"POINT (16.528468699 49.221321334)","24519","2017/10/07","1899/12/30","Sobota","Saturday","Noc","Night","Odbojarska, Brno","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.22132133430","16.52846869880"
"POINT (16.600235114 49.215721402)","24566","2017/10/07","1899/12/30","Sobota","Saturday","Den","Day","Reissigova 3, Brno-Ponava","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.21572140170","16.60023511380"
"POINT (16.6063448670001 49.199640458)","25290","2017/10/05","1899/12/30","Čtvrtek","Thursday","Den","Day","Moravske namesti, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19964045840","16.60634486700"
"POINT (16.607873112 49.1981509070001)","25424","2017/10/05","1899/12/30","Čtvrtek","Thursday","Den","Day","Moravske namesti 1, Brno","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.19815090740","16.60787311170"
"POINT (16.5901591370001 49.2275151)","26748","2017/10/02","1899/12/30","Pondělí","Monday","Den","Day","Bulharska 53, Brno-Kralovo Pole","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.22751510020","16.59015913680"
"POINT (16.6167354020001 49.1952261060001)","26779","2017/10/02","1899/12/30","Pondělí","Monday","Den","Day","Koliste 53, Brno-Zabrdovice","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19522610620","16.61673540190"
"POINT (16.590332548 49.227254966)","26993","2017/10/02","1899/12/30","Pondělí","Monday","Den","Day","Bulharska 49, Brno-Kralovo Pole","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.22725496600","16.59033254780"
"POINT (16.60488223 49.206155262)","27002","2017/10/02","1899/12/30","Pondělí","Monday","Den","Day","Lidicka 69, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.20615526210","16.60488222960"
"POINT (16.5889115590001 49.2146586740001)","27156","2017/10/02","1899/12/30","Pondělí","Monday","Den","Day","Jana Babaka 2, Brno-Kralovo Pole","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.21465867410","16.58891155900"
"POINT (16.5779460970001 49.19130276)","27362","2017/10/01","1899/12/30","Neděle","Sunday","Den","Day","Hlinky 128, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19130276050","16.57794609730"
"POINT (16.5779460970001 49.19130276)","27366","2017/10/01","1899/12/30","Neděle","Sunday","Den","Day","Hlinky 128, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19130276050","16.57794609730"
"POINT (16.6038077910001 49.1954776200001)","27409","2017/09/30","1899/12/30","Sobota","Saturday","Noc","Night","Husova 15, Brno","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19547762010","16.60380779110"
"POINT (16.625397091 49.1753410430001)","27834","2017/09/28","1899/12/30","Čtvrtek","Thursday","Den","Day","Luzna 30, Brno-Komarov","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.17534104310","16.62539709140"
"POINT (16.625397091 49.1753410430001)","27854","2017/09/28","1899/12/30","Čtvrtek","Thursday","Den","Day","Luzna 30, Brno-Komarov","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.17534104310","16.62539709140"
"POINT (16.625397091 49.1753410430001)","27922","2017/09/28","1899/12/30","Čtvrtek","Thursday","Den","Day","Luzna 30, Brno-Komarov","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.17534104310","16.62539709140"
"POINT (16.625397091 49.1753410430001)","27932","2017/09/28","1899/12/30","Čtvrtek","Thursday","Den","Day","Luzna 30, Brno-Komarov","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.17534104310","16.62539709140"
"POINT (16.5327353230001 49.223289122)","28095","2017/09/27","1899/12/30","Středa","Wednesday","Noc","Night","Pod Horkou 16, Brno-Bystrc","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Oznámeno správnímu orgánu mimo MP","Handed over to the administrative authority outside the City Police","Radioprovoz","Radio broadcasting","49.22328912190","16.53273532270"
"POINT (16.611348682 49.2013118360001)","28136","2017/09/27","1899/12/30","Středa","Wednesday","Den","Day","trida Kpt. Jarose 10, Brno-cerna Pole","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.20131183630","16.61134868160"
"POINT (16.611348682 49.2013118360001)","28137","2017/09/27","1899/12/30","Středa","Wednesday","Den","Day","trida Kpt. Jarose 10, Brno-cerna Pole","Cyklista na chodníku","Cyclist on the sidewalk","Oznámeno správnímu orgánu mimo MP","Handed over to the administrative authority outside the City Police","Radioprovoz","Radio broadcasting","49.20131183630","16.61134868160"
"POINT (16.617364004 49.1968428640001)","28490","2017/09/27","1899/12/30","Středa","Wednesday","Noc","Night","Cejl 16, Brno-Zabrdovice","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19684286410","16.61736400370"
"POINT (16.607561108 49.200359835)","28583","2017/09/26","1899/12/30","Úterý","Tuesday","Den","Day","Lidicka 1, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20035983540","16.60756110780"
"POINT (16.6443458900001 49.209091206)","28656","2017/09/26","1899/12/30","Úterý","Tuesday","Den","Day","Podsednicka 9, Brno-zidenice","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.20909120640","16.64434588980"
"POINT (16.5932537250001 49.2234799300001)","28673","2017/09/26","1899/12/30","Úterý","Tuesday","Den","Day","Husitska 11, Brno-Kralovo Pole","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.22347993040","16.59325372490"
"POINT (16.59837651 49.2162093900001)","30071","2017/09/21","1899/12/30","Čtvrtek","Thursday","Den","Day","Kartouzska 12, Brno-Ponava","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.21620939020","16.59837650980"
"POINT (16.6201765340001 49.191997487)","32215","2017/09/16","1899/12/30","Sobota","Saturday","Den","Day","spitalka 18b, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19199748710","16.62017653440"
"POINT (16.581558833 49.1903767110001)","32222","2017/09/16","1899/12/30","Sobota","Saturday","Den","Day","Hlinky 100, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19037671060","16.58155883270"
"POINT (16.6198556910001 49.191978132)","32229","2017/09/16","1899/12/30","Sobota","Saturday","Den","Day","Krenova 25, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.19197813230","16.61985569100"
"POINT (16.605594425 49.1988036650001)","32368","2017/09/15","1899/12/30","Pátek","Friday","Den","Day","Moravske namesti 9, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19880366460","16.60559442460"
"POINT (16.6062565330001 49.1982691750001)","32379","2017/09/15","1899/12/30","Pátek","Friday","Den","Day","Moravske namesti 8, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19826917510","16.60625653330"
"POINT (16.5822833240001 49.1902201730001)","32439","2017/09/15","1899/12/30","Pátek","Friday","Den","Day","Hlinky 94, Brno-Pisarky","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.19022017340","16.58228332370"
"POINT (16.6062565330001 49.1982691750001)","32544","2017/09/15","1899/12/30","Pátek","Friday","Den","Day","Moravske namesti 8, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19826917510","16.60625653330"
"POINT (16.6063448670001 49.199640458)","32557","2017/09/15","1899/12/30","Pátek","Friday","Den","Day","Moravske namesti, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19964045840","16.60634486700"
"POINT (16.6088168530001 49.188257537)","32829","2017/09/14","1899/12/30","Čtvrtek","Thursday","Den","Day","Hybesova 1, Brno","Průjezd na červenou - cyklista","Cyclist - ignoring traffic lights","Oznámeno správnímu orgánu mimo MP","Handed over to the administrative authority outside the City Police","Radioprovoz","Radio broadcasting","49.18825753750","16.60881685270"
"POINT (16.628449393 49.2059792270001)","33338","2017/09/13","1899/12/30","Středa","Wednesday","Den","Day","Husovicka, Brno","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20597922740","16.62844939260"
"POINT (16.601878346 49.2013367870001)","33691","2017/09/12","1899/12/30","Úterý","Tuesday","Den","Day","Smetanova 12, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20133678740","16.60187834570"
"POINT (16.61142454 49.1905373650001)","34791","2017/09/08","1899/12/30","Pátek","Friday","Den","Day","Nadrazni 7, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.19053736490","16.61142454040"
"POINT (16.5924025690001 49.2120784630001)","34797","2017/09/08","1899/12/30","Pátek","Friday","Den","Day","Kounicova 85, Brno-zabovresky","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.21207846290","16.59240256920"
"POINT (16.628860103 49.205071354)","34809","2017/09/08","1899/12/30","Pátek","Friday","Den","Day","Husovicka 4, Brno-Husovice","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.20507135360","16.62886010270"
"POINT (16.579738913 49.1701508310001)","35146","2017/09/07","1899/12/30","Čtvrtek","Thursday","Noc","Night","Dlouha, Brno","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.17015083110","16.57973891330"
"POINT (16.600707626 49.182217956)","36148","2017/09/06","1899/12/30","Středa","Wednesday","Den","Day","Renneska trida 3, Brno-styrice","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.18221795650","16.60070762570"
"POINT (16.600707626 49.182217956)","36151","2017/09/06","1899/12/30","Středa","Wednesday","Den","Day","Renneska trida 3, Brno-styrice","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.18221795650","16.60070762570"
"POINT (16.601014553 49.1835090260001)","36163","2017/09/06","1899/12/30","Středa","Wednesday","Den","Day","Renneska trida 4, Brno-styrice","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.18350902610","16.60101455340"
"POINT (16.591726895 49.209616173)","36204","2017/09/05","1899/12/30","Úterý","Tuesday","Noc","Night","sumavska 35, Brno","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.20961617320","16.59172689490"
"POINT (16.589778702 49.211115691)","36220","2017/09/05","1899/12/30","Úterý","Tuesday","Noc","Night","Pod kastany 11, Brno-zabovresky","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.21111569110","16.58977870210"
"POINT (16.628860103 49.205071354)","36239","2017/09/05","1899/12/30","Úterý","Tuesday","Den","Day","Husovicka 4, Brno-Husovice","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20507135360","16.62886010270"
"POINT (16.620078365 49.1747610240001)","36427","2017/09/05","1899/12/30","Úterý","Tuesday","Den","Day","Ksirova 15, Brno-Komarov","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.17476102450","16.62007836470"
"POINT (16.620078365 49.1747610240001)","36436","2017/09/05","1899/12/30","Úterý","Tuesday","Den","Day","Ksirova 15, Brno-Komarov","Cyklista na chodníku","Cyclist on the sidewalk","Napomenutí / Domluva do 1.7.2017","Warning","Radioprovoz","Radio broadcasting","49.17476102450","16.62007836470"
"POINT (16.6406658400001 49.1941149790001)","36706","2017/09/04","1899/12/30","Pondělí","Monday","Noc","Night","Taborska 160, Brno-zidenice","Cyklista - porušení pravidel provozu","Cyclist - violation of the traffic rules","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.19411497920","16.64066583970"
"POINT (16.5943909260001 49.1897604550001)","36716","2017/09/04","1899/12/30","Pondělí","Monday","Noc","Night","Mendlovo namesti 15, Brno","Cyklista na chodníku","Cyclist on the sidewalk","K vymáhání ORF MmB","Handed over to the Finance and Budgeting Department","Radioprovoz","Radio broadcasting","49.18976045540","16.59439092570"
"POINT (16.5943909260001 49.1897604550001)","36717","2017/09/04","1899/12/30","Pondělí","Monday","Noc","Night","Mendlovo namesti 15, Brno","Cyklista na chodníku","Cyclist on the sidewalk","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.18976045540","16.59439092570"
"POINT (16.628860103 49.205071354)","36736","2017/09/04","1899/12/30","Pondělí","Monday","Den","Day","Husovicka 4, Brno-Husovice","Cyklista - Nerespektování značky zákaz vjezdu","Cyclist - violation of the No entry road sign","Bloková pokuta","Fine","Radioprovoz","Radio broadcasting","49.20507135360","16.62886010270"
